trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3372,06:53:00,06:53:00,6900,11,0,0,4.4379
3372,06:55:00,06:55:00,42545,12,0,0,4.8572
3372,06:58:00,06:58:00,26326,13,0,0,4.8670
3372,07:01:00,07:01:00,39134,14,0,0,5.4413
3372,07:03:00,07:03:00,39133,15,0,0,5.7977
3372,07:04:00,07:04:00,39131,16,0,0,5.8951
3372,07:06:00,07:06:00,39130,17,0,0,6.0600
3373,06:55:00,06:55:00,38065,1,0,0,0.0000
3373,06:57:00,06:57:00,38064,2,0,0,0.4006
3373,07:01:00,07:01:00,26316,3,0,0,0.8252
3373,07:03:00,07:03:00,6907,4,0,0,1.3703
3373,07:05:00,07:05:00,14984,5,0,0,1.8814
3373,07:07:00,07:07:00,6966,6,0,0,2.4307
3373,07:09:00,07:09:00,14986,7,0,0,3.0044
3373,07:10:00,07:10:00,6957,8,0,0,3.4725
3373,07:11:00,07:11:00,6995,9,0,0,3.7331
3373,07:12:00,07:12:00,6997,10,0,0,4.2576
3373,07:13:00,07:13:00,6900,11,0,0,4.4379
3373,07:15:00,07:15:00,42545,12,0,0,4.8572
3373,07:18:00,07:18:00,26326,13,0,0,4.8670
3373,07:21:00,07:21:00,39134,14,0,0,5.4413
3373,07:23:00,07:23:00,39133,15,0,0,5.7977
3373,07:24:00,07:24:00,39131,16,0,0,5.8951
3373,07:26:00,07:26:00,39130,17,0,0,6.0600
3374,07:15:00,07:15:00,38065,1,0,0,0.0000
3374,07:17:00,07:17:00,38064,2,0,0,0.4006
3374,07:21:00,07:21:00,26316,3,0,0,0.8252
3374,07:23:00,07:23:00,6907,4,0,0,1.3703
3374,07:25:00,07:25:00,14984,5,0,0,1.8814
3374,07:27:00,07:27:00,6966,6,0,0,2.4307
3374,07:29:00,07:29:00,14986,7,0,0,3.0044
3374,07:30:00,07:30:00,6957,8,0,0,3.4725
3374,07:31:00,07:31:00,6995,9,0,0,3.7331
3374,07:32:00,07:32:00,6997,10,0,0,4.2576
3374,07:33:00,07:33:00,6900,11,0,0,4.4379
3374,07:35:00,07:35:00,42545,12,0,0,4.8572
3374,07:38:00,07:38:00,26326,13,0,0,4.8670
3374,07:41:00,07:41:00,39134,14,0,0,5.4413
3374,07:43:00,07:43:00,39133,15,0,0,5.7977
3374,07:44:00,07:44:00,39131,16,0,0,5.8951
3374,07:46:00,07:46:00,39130,17,0,0,6.0600
3375,07:35:00,07:35:00,38065,1,0,0,0.0000
3375,07:37:00,07:37:00,38064,2,0,0,0.4006
3375,07:41:00,07:41:00,26316,3,0,0,0.8252
3375,07:43:00,07:43:00,6907,4,0,0,1.3703
3375,07:45:00,07:45:00,14984,5,0,0,1.8814
3375,07:47:00,07:47:00,6966,6,0,0,2.4307
3375,07:49:00,07:49:00,14986,7,0,0,3.0044
3375,07:50:00,07:50:00,6957,8,0,0,3.4725
3375,07:51:00,07:51:00,6995,9,0,0,3.7331
3375,07:52:00,07:52:00,6997,10,0,0,4.2576
3375,07:53:00,07:53:00,6900,11,0,0,4.4379
3375,07:55:00,07:55:00,42545,12,0,0,4.8572
3375,07:58:00,07:58:00,26326,13,0,0,4.8670
3375,08:01:00,08:01:00,39134,14,0,0,5.4413
3375,08:03:00,08:03:00,39133,15,0,0,5.7977
3375,08:04:00,08:04:00,39131,16,0,0,5.8951
3375,08:06:00,08:06:00,39130,17,0,0,6.0600
3376,07:55:00,07:55:00,38065,1,0,0,0.0000
3376,07:57:00,07:57:00,38064,2,0,0,0.4006
3376,08:01:00,08:01:00,26316,3,0,0,0.8252
3376,08:03:00,08:03:00,6907,4,0,0,1.3703
3376,08:05:00,08:05:00,14984,5,0,0,1.8814
3376,08:07:00,08:07:00,6966,6,0,0,2.4307
3376,08:09:00,08:09:00,14986,7,0,0,3.0044
3376,08:10:00,08:10:00,6957,8,0,0,3.4725
3376,08:11:00,08:11:00,6995,9,0,0,3.7331
3376,08:12:00,08:12:00,6997,10,0,0,4.2576
3376,08:13:00,08:13:00,6900,11,0,0,4.4379
3376,08:15:00,08:15:00,42545,12,0,0,4.8572
3376,08:18:00,08:18:00,26326,13,0,0,4.8670
3376,08:21:00,08:21:00,39134,14,0,0,5.4413
